iter	RMSE
211	0.4657793922
212	0.4651653921
213	0.4646997375
214	0.4640044107
215	0.4637097883
216	0.4633908923
217	0.4631302557
218	0.4627952285
219	0.462495183
220	0.4622427448
221	0.4617807585
222	0.4613892838
223	0.4610260936
224	0.4606983404
225	0.4603732109
226	0.4600997634
227	0.4593678315
228	0.45906025
229	0.4586875581
230	0.4580850375
231	0.4576375173
232	0.4573946386
233	0.4569827869
234	0.456693793
235	0.4562827395
236	0.4559761944
237	0.455637169
238	0.4550684247
239	0.4545839107
240	0.4543028587
241	0.4540096134
242	0.4536666751
243	0.4533901241
244	0.4530952047
245	0.4527915358
246	0.452579747
247	0.4521205747
248	0.451927722
249	0.4515309449
250	0.4511964153
251	0.4509011904
252	0.4506339348
253	0.4504150677
254	0.4500827757
255	0.4498461939
256	0.4495679686
257	0.4493058093
258	0.4486745059
259	0.4482755097
260	0.4480033205
261	0.4476861012
262	0.4474515808
263	0.4472348654
264	0.4469107875
265	0.4465573914
266	0.4463186826
267	0.4460701562
268	0.4456941022
269	0.4454406763
270	0.4452387045
271	0.4446929894
272	0.4444225797
273	0.4441356684
274	0.4438195085
275	0.4435772298
276	0.4432975827
277	0.443015253
278	0.4426046081
279	0.4420902525
280	0.4418712885
281	0.4415797312
282	0.4412909095
283	0.4410488812
284	0.4407491503
285	0.4404349335
286	0.4401997358
287	0.4399219766
288	0.4396134198
289	0.4393229838
290	0.4391098873
291	0.438874502
292	0.4385728841
293	0.4383510326
294	0.438138958
295	0.4377291239
296	0.4374449265
297	0.4372127227
298	0.4369573182
299	0.4367292874
300	0.4365053663
301	0.4362966714
302	0.4360825649
303	0.4358589493
304	0.4355137417
305	0.4352978189
306	0.4350489654
307	0.434695277
308	0.4344756963
309	0.4342688376
310	0.4340889381
311	0.4338399142
312	0.4335627654
313	0.4333752266
314	0.433141418
315	0.4329326788
316	0.4327533619
317	0.4325309694
318	0.4323597415
319	0.4320936654
320	0.431926642
321	0.4317420699
322	0.4314683402
323	0.4311917435
324	0.4310683093
325	0.4308724694
326	0.4306245354
327	0.4304634057
328	0.430256466
329	0.4300793652
330	0.4296757747
331	0.4294211116
332	0.4292103816
333	0.4289462905
334	0.4286805793
335	0.4284653892
336	0.4281944991
337	0.4279679335
338	0.4278034024
339	0.4275081003
340	0.4272582456
341	0.4270813692
342	0.4268046922
343	0.4265813552
344	0.4263616207
345	0.4262166607
346	0.4259830937
347	0.4257643271
348	0.4255876768
349	0.4254230061
350	0.4250400886
351	0.4247247847
352	0.4246218111
353	0.4244153981
354	0.4242448997
355	0.4239557085
356	0.4238279297
357	0.4236666189
358	0.4235101542
359	0.4233473578
360	0.4232098534
361	0.4229233283
362	0.4227240571
363	0.4224457969
364	0.4222590873
365	0.4221115046
366	0.4219486258
367	0.4218132211
368	0.4216108809
369	0.421405708
370	0.4212764377
371	0.4209501355
372	0.4207879623
373	0.4205916866
374	0.4203565982
375	0.4202514883
376	0.4200904747
377	0.4199468313
378	0.4196688274
379	0.4194710177
380	0.4191933056
381	0.4188846083
382	0.418714427
383	0.4184112582
384	0.4182510231
385	0.4180595063
386	0.4178293084
387	0.4175344417
388	0.4174399981
389	0.4172230011
390	0.4170748813
391	0.4168009637
392	0.4166607093
393	0.4164430805
394	0.4162353287
395	0.4160647694
396	0.4157887879
397	0.4156322891
398	0.4154215133
399	0.4152778132
400	0.4149892219
401	0.4146469657
402	0.4143502698
403	0.414221768
404	0.4139955751
405	0.4138564693
406	0.4136888409
407	0.4135340481
408	0.4132711497
409	0.4130881685
410	0.413006903
411	0.4126175628
412	0.4123955636
413	0.4121673542
414	0.4119782632
415	0.4118062429
416	0.4115812606
417	0.4113898915
418	0.4112004016
419	0.411066769
420	0.4108619689
421	0.4106589462
422	0.4103568321
423	0.4102086275
424	0.4098415217
425	0.4097301657
426	0.4095938121
427	0.4094181451
428	0.4092743934
429	0.4090950448
430	0.4089358145
431	0.4087844346
432	0.4086422405
433	0.4084898647
434	0.40831278
435	0.4080874836
436	0.4079327097
437	0.4077866635
438	0.4076562717
439	0.4074807358
440	0.4072273099
441	0.4070793746
442	0.4069617355
443	0.4067692924
444	0.4066493265
445	0.4064238317
446	0.4060941412
447	0.4059699746
448	0.4058410152
449	0.4056940605
450	0.4053618474
451	0.4052637919
452	0.4050330435
453	0.4049042968
454	0.4047052022
455	0.4045865272
456	0.4043936523
457	0.4042895391
458	0.404176462
459	0.4039784475
460	0.4037592027
461	0.4035944426
462	0.4034352825
463	0.4032323516
464	0.4030941415
465	0.4029800655
466	0.4028223428
467	0.4026226069
468	0.4024979038
469	0.4023991072
470	0.4023110134
471	0.4019623019
472	0.4017264619
473	0.4014374919
474	0.4012944695
475	0.4010959069
476	0.4008758531
477	0.4007105218
478	0.4005787089
479	0.4003941312
480	0.4002773761
481	0.4000922091
482	0.3999710764
483	0.3998128464
484	0.3996716517
485	0.3995489915
486	0.3993317597
487	0.3991907075
488	0.3990809397
489	0.3989596499
490	0.398856761
491	0.3987498215
492	0.3986499822
493	0.3984233224
494	0.3983418221
495	0.3981418472
496	0.3980499977
497	0.3978715872
498	0.3977143016
499	0.3975649906
500	0.3974315647
501	0.3972991566
502	0.3972486729
503	0.3970121811
504	0.3968884285
505	0.3967775636
506	0.396611962
507	0.3964391715
508	0.3963056054
509	0.395981982
510	0.3957836159
511	0.3956480395
512	0.3955421747
513	0.395317472
514	0.395120952
515	0.3949849456
516	0.3947158848
517	0.3945281531
518	0.3944280863
519	0.3943160923
520	0.394029057
521	0.3938800036
522	0.3937726879
523	0.3936103149
524	0.3934591536
525	0.3933184021
526	0.3932030958
527	0.3930771749
528	0.3929071936
529	0.3928022548
530	0.3926496674
531	0.3925567203
532	0.3923620703
533	0.392272151
534	0.3921575716
535	0.3920048147
536	0.3918407823
537	0.3917096088
538	0.3916096203
539	0.391488259
540	0.3913520312
541	0.3911508679
542	0.3910596269
543	0.3909281889
544	0.3907507775
545	0.3906018508
546	0.3905099774
547	0.3903419045
548	0.390250465
549	0.390029141
550	0.3898895664
551	0.3897261282
552	0.389466971
553	0.3893471091
554	0.3892021908
555	0.3891260105
556	0.388949729
557	0.3888106873
558	0.3886615506
559	0.3885455059
560	0.3884543459
561	0.3883731236
562	0.388299107
563	0.3881742201
564	0.3880729663
565	0.3879210763
566	0.3878587084
567	0.3877360034
568	0.387527541
569	0.3873798428
570	0.3872123892
571	0.3870731108
572	0.3870000735
573	0.3868984433
574	0.386703359
575	0.3866290535
576	0.3864699152
577	0.3863150997
578	0.3861926725
579	0.3860250955
580	0.3859161674
581	0.3857761888
582	0.3856370747
583	0.385474358
584	0.3853399642
585	0.3852046054
586	0.3851310088
587	0.38496285
588	0.3846752248
589	0.3845741601
590	0.3844591476
591	0.3842899452
592	0.3841199624
593	0.3840376384
594	0.3839218641
595	0.3837440486
596	0.3836121416
597	0.3834659012
598	0.3833713099
599	0.3832112175
600	0.3831046455
601	0.3829896927
602	0.3828924329
603	0.3827224368
604	0.3825624849
605	0.3824259826
606	0.3823616142
607	0.3821987628
608	0.3820383412
609	0.3819262689
610	0.3817102636
611	0.3816050377
612	0.3814884299
613	0.3813334045
614	0.38123221
615	0.3811271152
616	0.380981357
617	0.3808625756
618	0.3807664281
619	0.3806452951
620	0.3805332031
621	0.3804051477
622	0.3802574264
623	0.3801616344
624	0.3799931538
625	0.3797549597
626	0.3795684391
627	0.3794591441
628	0.3793117879
629	0.3791576507
630	0.3790356224
631	0.3789464806
632	0.3788804128
633	0.3786804695
634	0.3785316485
635	0.3783819241
636	0.3782858814
637	0.3781260536
638	0.3779641012
639	0.377817803
640	0.3776713387
641	0.3775524924
642	0.3774292459
643	0.3773367386
644	0.3772598692
645	0.3771668769
646	0.3771083332
647	0.3769190352
648	0.3767691709
649	0.3766500743
650	0.3765270315
651	0.376414536
652	0.3762592355
653	0.3761161746
654	0.3759810768
655	0.3758797496
656	0.3757514244
657	0.3756273319
658	0.3755409127
659	0.3754121761
660	0.3752853302
661	0.3751659739
662	0.3750604334
663	0.3749279757
664	0.3748230773
665	0.3746757301
666	0.374584809
667	0.3744270097
668	0.3743165357
669	0.3742061206
670	0.3741241083
671	0.374047416
672	0.3739235561
673	0.3738353717
674	0.3737458841
675	0.3736269796
676	0.3735569312
677	0.3734196842
678	0.3732730829
679	0.3730628085
680	0.3729354318
681	0.3727231497
682	0.3726381345
683	0.3725240041
684	0.3724176339
685	0.3723316769
686	0.3722498929
687	0.3721278355
688	0.3720669101
689	0.3718803098
690	0.3718066445
691	0.3716677469
692	0.371583247
693	0.3714700824
694	0.3713345482
695	0.3712070996
696	0.371120966
697	0.3709839713
698	0.37085523
699	0.3707816945
700	0.3706461517
701	0.3705651517
702	0.3703420526
703	0.3701627598
704	0.3700570306
705	0.3699183138
706	0.3698045385
707	0.3697309038
708	0.3696209661
709	0.3694811321
710	0.3693296251
711	0.3691789952
712	0.3690548692
713	0.3689637686
714	0.368837152
715	0.3687383185
716	0.3686485206
717	0.3684756064
718	0.3684049968
719	0.3682554561
720	0.3681414443
721	0.3678973097
722	0.3677866009
723	0.3676564562
724	0.3675900695
725	0.3674775172
726	0.3673597839
727	0.367232363
728	0.3670848176
729	0.3670088946
730	0.3668443672
731	0.3667283316
732	0.3665915189
733	0.3664802987
734	0.3663994494
735	0.366327839
736	0.3661745119
737	0.3660665238
738	0.3659349026
739	0.3657992155
740	0.3656890471
741	0.3655387873
742	0.3653872347
743	0.3653206476
744	0.3652538309
745	0.3651137506
746	0.3650339579
747	0.3649420767
748	0.3648240654
749	0.3647299009
750	0.3646286019
751	0.3644910378
752	0.3643643198
753	0.364251786
754	0.3641249418
755	0.3640045287
756	0.3638844311
757	0.3637969192
758	0.3637303368
759	0.3636309807
760	0.3634802696
761	0.3633549044
762	0.3632147857
763	0.3631402889
764	0.3629768151
765	0.3628300792
766	0.362728189
767	0.3625972642
768	0.3625358411
769	0.3624333096
770	0.3623657966
771	0.3622419981
772	0.3621845788
773	0.362081444
774	0.3619827927
775	0.3618740629
776	0.361759239
777	0.3616674635
778	0.3615328984
779	0.3614171792
780	0.3613162709
781	0.3612006184
782	0.3611107042
783	0.3609875347
784	0.3608986615
785	0.3607955166
786	0.3606749083
787	0.3605305064
788	0.3604649042
789	0.3604001305
790	0.3602758349
791	0.3601759105
792	0.3601192584
793	0.360041174
794	0.3599745522
795	0.359837465
796	0.3597456526
797	0.3596061353
798	0.359519915
799	0.3594378695
800	0.3593327002
801	0.3592120195
802	0.3591016457
803	0.3590256317
804	0.3588918496
805	0.3587920154
806	0.3586540806
807	0.3585402865
808	0.3584553069
809	0.3583763566
810	0.3582835813
811	0.3582051146
812	0.3581357108
813	0.3580671151
814	0.3579317569
815	0.3578071118
816	0.3577148606
817	0.3576237667
818	0.3575743254
819	0.3575065062
820	0.3573742918
821	0.3572280965
822	0.3570967904
823	0.3569517152
824	0.3568156302
825	0.3567053038
826	0.3565838532
827	0.3564664802
828	0.3563906231
829	0.3562959077
830	0.3561881971
831	0.3560478565
832	0.355924208
833	0.3558330605
834	0.3557341173
835	0.3556546037
836	0.355561161
837	0.3554945524
838	0.3554012467
839	0.3552768469
840	0.3550970327
841	0.3549735871
842	0.354842822
843	0.3547676762
844	0.3546499883
845	0.3545772112
846	0.3544731707
847	0.3543792931
848	0.3541623612
849	0.3540811957
850	0.3539888958
851	0.3539030162
852	0.3538273736
853	0.3537665434
854	0.3536707905
855	0.3535707404
856	0.3534754803
857	0.3533927277
858	0.3533180343
859	0.3532509629
860	0.3531169273
861	0.3529999884
862	0.3529334862
863	0.3528706437
864	0.3527698881
865	0.3526880631
866	0.3526052543
867	0.3525076598
868	0.3524272709
869	0.3522341646
870	0.35210913
871	0.3520184437
872	0.3519434138
873	0.3518394369
874	0.3517409938
875	0.3516483863
876	0.3515684264
877	0.3514633404
878	0.3513961449
879	0.3512784415
880	0.3512336091
881	0.3510844052
882	0.3510119285
883	0.3509377715
884	0.350853776
885	0.3507499303
886	0.3506694792
887	0.3505584492
888	0.3504909298
889	0.3503785722
890	0.3502934199
891	0.3502223137
892	0.3501655186
893	0.3500415717
894	0.3499452972
895	0.3498579974
896	0.3497681581
897	0.3496512971
898	0.349596161
899	0.3494859513
900	0.3494209701
901	0.3493303526
902	0.3492564029
903	0.3491770234
904	0.3491344817
905	0.3490236056
906	0.3489564384
907	0.3488683238
908	0.3487714496
909	0.3486619266
910	0.3485650692
911	0.3484741479
912	0.3483773268
913	0.3482280432
914	0.3481191716
915	0.3480639188
916	0.3479565833
917	0.3478894553
918	0.3477955348
919	0.3477200133
920	0.3476129087
921	0.3475229333
922	0.3473937584
923	0.3472886575
924	0.3472239409
925	0.3471425368
926	0.3470975035
927	0.3469814101
928	0.3469108758
929	0.3467782275
930	0.3466536496
931	0.3465468249
932	0.3464623596
933	0.3463250514
934	0.3462275649
935	0.3461566046
936	0.3460604904
937	0.3459522246
938	0.3459066805
939	0.345846569
940	0.3457894833
941	0.3457331596
942	0.3456597023
943	0.3456091545
944	0.345543704
945	0.345446379
946	0.3453666432
947	0.345267532
948	0.345188762
949	0.3450730747
950	0.345025799
951	0.3449422328
952	0.3448683576
953	0.3448226148
954	0.3447132468
955	0.3446101359
956	0.3445499059
957	0.344473071
958	0.3443912461
959	0.3442809378
960	0.344200296
961	0.3440978618
962	0.3439900226
963	0.3438945723
964	0.343816648
965	0.343765043
966	0.3436708482
967	0.3435947818
968	0.3434691306
969	0.34338413
970	0.3433356055
971	0.3432090229
972	0.3431434908
973	0.3430496328
974	0.3429831731
975	0.3429196125
976	0.3428586559
977	0.3427749942
978	0.3426830201
979	0.342473807
980	0.3423965534
981	0.3423326142
982	0.3422763299
983	0.3422172861
984	0.342111657
985	0.342024469
986	0.3419713723
987	0.3418905077
988	0.3417766653
989	0.3416495671
990	0.3415598883
991	0.3414705408
992	0.3413891907
993	0.3413414072
994	0.3412408141
995	0.3411530166
996	0.3410358654
997	0.3409622895
998	0.3409031328
999	0.3407945524
